samples,tissues,responses,basket_number,cluster_number,responsive
HO-1-N-1,Head and Neck,0.107349507388662,8,0,0
PCI-30,Head and Neck,0.0893290627546091,8,2,0
VMRC-RCZ,Kidney,0.0788264548067618,9,2,0
TK-10,Kidney,0.141051776663695,9,2,0
KTCTL-195,Kidney,0.0403797791007142,9,2,1
LB996-RCC,Kidney,0.244483749101784,9,2,0
SN12C,Kidney,0.0911603338791572,9,2,0
HLE,Liver,0.0842854915130979,10,1,0
Hep-G2/C3A,Liver,0.0412973085442558,10,1,1
NCI-H661,Lung,0.0183791567222997,11,1,1
NCI-H847,Lung,0.0995181534799839,11,5,0
LC-1/sq,Lung,0.165341580819403,11,0,0
CPC-N,Lung,0.0047772783418361,11,5,1
NCI-H1993,Lung,0.023961971285734,11,4,1
NCI-H835,Lung,0.0,11,9,1
EMC-BAC-2,Lung,0.146983951311469,11,4,0
NCI-H720,Lung,0.0296325541378149,11,9,1
NCI-H1417,Lung,0.0745471037139519,11,9,0
COR-L32,Lung,0.0,11,9,1
SW1573,Lung,0.0250431547942305,11,1,1
NCI-H2141,Lung,0.0769405675517457,11,9,0
NCI-H513,Lung,0.174566769336701,11,4,0
KNS-62,Lung,0.0481804125050365,11,0,1
NCI-H64,Lung,0.0509091200332347,11,9,1
NCI-H3122,Lung,0.0441908089321761,11,4,1
SBC-3,Lung,0.0322653281625237,11,1,1
UMC-11,Lung,0.208980109194481,11,9,0
VMRC-LCD,Lung,0.0,11,9,1
Lu-165,Lung,0.0213726597462009,11,9,1
IST-SL2,Lung,0.119476615754353,11,7,0
MS-1 [Human lung carcinoma],Lung,0.0,11,5,1
Lu-135,Lung,0.0,11,9,1
NCI-H1688,Lung,0.107444928590354,11,9,0
GR-ST,Lymphoid,0.0509430826487241,12,8,1
VAL,Lymphoid,0.00348165334328,12,8,1
BE-13,Lymphoid,0.147781534990873,12,8,0
SCC-3,Lymphoid,0.0260266371418896,12,3,1
P30/OHK,Lymphoid,0.153037674252343,12,8,0
Karpas-620,Lymphoid,0.0220131334217489,12,3,1
BC-1,Lymphoid,0.0,12,3,1
IM-9,Lymphoid,0.0072128917308504,12,3,1
HDLM-2,Lymphoid,0.149176430949222,12,3,0
U-698-M,Lymphoid,0.0,12,8,1
MN-60,Lymphoid,0.0095499532284566,12,8,1
Karpas-45,Lymphoid,0.0755587520322391,12,8,0
Mo,Lymphoid,0.0,12,3,1
BALL-1,Lymphoid,0.0322397955605544,12,8,1
ST486,Lymphoid,0.0547454358938863,12,3,1
Ramos.2G6.4C10,Lymphoid,0.0370244930004005,12,8,1
MHH-PREB-1,Lymphoid,0.0845859251173788,12,8,0
DND-41,Lymphoid,0.0031476757941611,12,8,1
MLMA,Lymphoid,0.0499452106833892,12,8,1
DG-75,Lymphoid,0.0057516163582952,12,8,1
Karpas-231,Lymphoid,0.171307917819092,12,8,0
Hs 445,Lymphoid,0.142339764859453,12,3,0
SU-DHL-6,Lymphoid,0.0,12,8,1
EB3 [Human Burkitt lymphoma],Lymphoid,0.0069792245838784,12,3,1
WSU-NHL,Lymphoid,0.0,12,8,1
RC-K8,Lymphoid,0.0528858101402446,12,3,1
SU-DHL-5,Lymphoid,0.085816151099276,12,8,0
HC-1,Lymphoid,0.0340868154044701,12,3,1
MC/CAR,Lymphoid,0.0095253495850284,12,3,1
SU-DHL-10,Lymphoid,0.104041741678245,12,8,0
Karpas-1106P,Lymphoid,0.0036009151585825,12,3,1
LC4-1,Lymphoid,0.0472470709877311,12,8,1
WSU-DLCL2,Lymphoid,0.0712472440111968,12,8,0
JSC-1,Lymphoid,0.0607022749035168,12,3,1
EB2,Lymphoid,0.0429537375852646,12,3,1
SR,Lymphoid,0.0,12,3,1
MOLT-4,Lymphoid,0.0657527879266316,12,8,0
RF-48,Lymphoid,0.0177306393347646,12,3,1
VL51,Lymphoid,0.0,12,3,1
YT,Lymphoid,0.0,12,3,1
CCRF-CEM,Lymphoid,0.0223111097402942,12,8,1
ALL-PO,Lymphoid,0.0294064649039689,12,8,1
CTV-1,Lymphoid,0.0285527954314114,12,8,1
TK [Human B-cell lymphoma],Lymphoid,0.007591205787772,12,8,1
ATN-1,Lymphoid,0.010383378654109,12,3,1
Jiyoye,Lymphoid,0.231501342822903,12,3,0
H9,Lymphoid,0.0373218963147581,12,3,1
HAL-01,Lymphoid,0.0115378275470124,12,1,1
P32/ISH,Lymphoid,0.0,12,8,1
U266B1,Lymphoid,0.0,12,3,1
ARH-77,Lymphoid,0.0,12,3,1
RPMI-6666,Lymphoid,0.0423366298942585,12,3,1
SUP-HD1,Lymphoid,0.0,12,3,1
NKM-1,Myeloid,0.0506030301986578,13,8,1
Ku812,Myeloid,0.13920547832318,13,3,0
EM-2,Myeloid,0.0453624148928001,13,8,1
KY821,Myeloid,0.0033592425810448,13,8,1
EoL-1,Myeloid,0.0559775520388389,13,8,1
BV-173,Myeloid,0.027744125820815,13,8,1
CESS,Myeloid,0.0780213306605076,13,3,0
KMOE-2,Myeloid,0.020199738441836,13,8,1
TUR,Myeloid,0.0206982277267648,13,8,1
LAMA-84,Myeloid,0.0271987461480035,13,3,1
CML-T1,Myeloid,0.104949347378575,13,8,0
ML-2,Myeloid,0.0,13,8,1
SKN,Other,0.0358645800552171,14,2,1
NCI-H630,Other,0.15526776524633,14,4,0
WIL2 NS,Other,0.171227206782087,14,3,0
OVMIU,Ovary/Fallopian Tube,0.23876239644168,15,4,0
OVKATE,Ovary/Fallopian Tube,0.182847413523017,15,4,0
HEY,Ovary/Fallopian Tube,0.156574099490733,15,2,0
DOV13,Ovary/Fallopian Tube,0.004497153275315,15,2,1
PEO1,Ovary/Fallopian Tube,0.0514665954698071,15,4,1
PWR-1E,Ovary/Fallopian Tube,0.118268735063697,15,2,0
PA-1,Ovary/Fallopian Tube,0.126645238104914,15,1,0
OVCAR-5,Ovary/Fallopian Tube,0.0582889736499988,15,4,1
KGN,Ovary/Fallopian Tube,0.0599764516483662,15,2,1
OVCA420,Ovary/Fallopian Tube,0.310602062917482,15,0,0
PL18 [Human pancreatic adenocarcinoma],Pancreas,0.0023096478225083,16,7,1
SUIT-2,Pancreas,0.0870832547923708,16,2,0
PL4,Pancreas,0.0903879744877081,16,4,0
KP-1N,Pancreas,0.109974218825988,16,2,0
YAPC,Pancreas,0.0328340635477832,16,0,1
GOTO,Peripheral Nervous System,0.0377601605871457,17,5,1
SJNB-14,Peripheral Nervous System,0.0677168554420596,17,5,0
SK-N-SH,Peripheral Nervous System,0.0525748988375155,17,5,1
NH-12,Peripheral Nervous System,0.0929692213382107,17,5,0
IMR-5,Peripheral Nervous System,0.0,17,5,1
TGW,Peripheral Nervous System,0.0165565881013634,17,5,1
CHP-134,Peripheral Nervous System,0.0978841475625625,17,5,0
NB69,Peripheral Nervous System,0.160135669263976,17,5,0
SJNB-7,Peripheral Nervous System,0.0624351476199665,17,1,0
SJNB-12,Peripheral Nervous System,0.0719562411144742,17,5,0
SJNB-13,Peripheral Nervous System,0.0,17,5,1
SK-N-BE(2)-M17,Peripheral Nervous System,0.0284500098221096,17,5,1
GI-ME-N,Peripheral Nervous System,0.108736093276118,17,1,0
NB(TU)1,Peripheral Nervous System,0.112469509484137,17,5,0
SJNB-10,Peripheral Nervous System,0.0245651813971402,17,5,1
IST-Mes1,Pleura,0.0341406357450479,18,2,1
NCI-H2373,Pleura,0.0845398529475579,18,2,0
NCI-H2461,Pleura,0.0256765383462138,18,2,1
NCI-H2595,Pleura,0.060629568955771,18,2,1
NCI-H2722,Pleura,0.129899826035366,18,2,0
NCI-H2818,Pleura,0.0595694345823773,18,2,1
NCI-H2591,Pleura,0.0929386881660237,18,2,0
NCI-H2731,Pleura,0.0599396397291209,18,2,1
NCI-H2795,Pleura,0.0550996824958782,18,2,1
NCI-H2369,Pleura,0.131004419708807,18,2,0
BPH-1,Prostate,0.259039605734209,19,0,0
DU145,Prostate,0.0504256442011685,19,7,1
WM1552C,Skin,0.0585060517248444,20,2,1
CHL-1,Skin,0.0654932276051647,20,1,0
SK-MEL-2,Skin,0.0,20,1,1
IST-MEL1,Skin,0.0033780002246665,20,1,1
WM278,Skin,0.0870718513006164,20,1,0
WM793,Skin,0.102146140677706,20,1,0
M14,Skin,0.090689295378625,20,1,0
WM35,Skin,0.0629563015147774,20,1,0
VA-ES-BJ,Soft Tissue,0.0336946175120275,21,2,1
MFH-ino,Soft Tissue,0.0713558242089594,21,2,0
SW982,Soft Tissue,0.0795567448009129,21,2,0
Rh30,Soft Tissue,0.179663987330051,21,5,0
SW872,Soft Tissue,0.0402193448068389,21,2,1
Hs 633.T,Soft Tissue,0.0403280386202056,21,2,1
SW684,Soft Tissue,0.0549753282567146,21,2,1
TT2609-C02,Thyroid,0.065813802548609,22,2,0
K5,Thyroid,0.0533732380574563,22,2,1
CGTH-W-1,Thyroid,0.0294210175555731,22,2,1
WRO,Thyroid,0.0183433366493724,22,2,1
ASH-3,Thyroid,0.0822035495793275,22,2,0
HTC-C3,Thyroid,0.0786803166590527,22,4,0
IHH-4,Thyroid,0.0201408053699505,22,2,1
HEC-1,Uterus,0.0870761859380532,23,2,0
